dbo.k92_tab.idnkbh_k92  ->  dbo.kbh_tab.idnkbh_kbh  [idnkbh_k92, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k93_tab.idnk71_k93  ->  dbo.k71_tab.idnk71_k71  [idnk71_k93, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k93_tab.idnkbb_k93  ->  dbo.kbb_tab.idnkbb_kbb  [idnkbb_k93, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k93_tab.invk96_k93  ->  dbo.k96_tab.idnk96_k96  [invk96_k93, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k94_tab.crdk96_k94  ->  dbo.k96_tab.idnk96_k96  [crdk96_k94, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k94_tab.dbtk96_k94  ->  dbo.k96_tab.idnk96_k96  [dbtk96_k94, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k95_tab.idnkap_k95  ->  dbo.kap_tab.idnkap_kap  [idnkap_k95, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k95_tab.invk96_k95  ->  dbo.k96_tab.idnk96_k96  [invk96_k95, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k96_tab.idnk97_k96  ->  dbo.k97_tab.idnk97_k97  [idnk97_k96, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k98_tab.ffwder_k98  ->  dbo.kap_tab.idnkap_kap  [ffwder_k98, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k98_tab.idnkbj_k98  ->  dbo.kbj_tab.idnkbj_kbj  [idnkbj_k98, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k98_tab.idnwhs_k98  ->  dbo.ka7_tab.idnka7_ka7  [idnwhs_k98, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k99_tab.idnk71_k99  ->  dbo.k71_tab.idnk71_k71  [idnk71_k99, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k99_tab.idnk95_k99  ->  dbo.k95_tab.idnk95_k95  [idnk95_k99, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k99_tab.idnka7_k99  ->  dbo.ka7_tab.idnka7_ka7  [idnka7_k99, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka0_tab.idnk12_ka0  ->  dbo.k12_tab.idnk12_k12  [idnk12_ka0_fk, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka1_tab.idnk06_ka1  ->  dbo.k06_tab.idnk06_k06  [idnk06_ka1, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka1_tab.idnk39_ka1  ->  dbo.k39_tab.idnk39_k39  [idnk39_ka1, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka2_tab.idnka1_ka2  ->  dbo.ka1_tab.idnka1_ka1  [idnka1_ka2, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka4_tab.idnk93_ka4  ->  dbo.k93_tab.idnk93_k93  [idnk93_ka4, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka5_tab.idnkav_ka5  ->  dbo.kav_tab.idnkav_kav  [idnkav_ka5, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka6_tab.idnka7_ka6  ->  dbo.ka7_tab.idnka7_ka7  [idnka7_ka6, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka9_tab.idnk81_ka9  ->  dbo.k81_tab.idnk81_k81  [idnk81_ka9, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.ka9_tab.idnka8_ka9  ->  dbo.ka8_tab.idnka8_ka8  [idnka8_ka9, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaa_tab.idnk71_kaa  ->  dbo.k71_tab.idnk71_k71  [idnk71_kaa, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaa_tab.idnka8_kaa  ->  dbo.ka8_tab.idnka8_ka8  [idnka8_kaa, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kab_tab.idnk85_kab  ->  dbo.k85_tab.idnk85_k85  [idnk85_kab, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kab_tab.idnka9_kab  ->  dbo.ka9_tab.idnka9_ka9  [idnka9_kab, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kab_tab.idnkaa_kab  ->  dbo.kaa_tab.idnkaa_kaa  [idnkaa_kab, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kac_tab.expk96_kac  ->  dbo.k96_tab.idnk96_k96  [expk96_kac, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kac_tab.idnka9_kac  ->  dbo.ka9_tab.idnka9_ka9  [idnka9_kac, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kad_tab.idnk06_kad  ->  dbo.k06_tab.idnk06_k06  [idnk06_kad, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kad_tab.idnk31_kad  ->  dbo.k31_tab.idnk31_k31  [idnk31_kad, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kae_tab.idnkad_kae  ->  dbo.kad_tab.idnkad_kad  [idnkad_kae, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kag_tab.idnkac_kag  ->  dbo.kac_tab.idnkac_kac  [idnkac_kag, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kak_tab.idnk85_kak  ->  dbo.k85_tab.idnk85_k85  [idnk85_kak, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kam_tab.idnpop_kam  ->  dbo.kan_tab.idnkan_kan  [idnpop_kam, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kam_tab.idnson_kam  ->  dbo.kan_tab.idnkan_kan  [idnson_kam, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kan_tab.idnkap_kan  ->  dbo.kap_tab.idnkap_kap  [idnkap_kan, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kap_tab.idnkbd_kap  ->  dbo.kbd_tab.idnkbd_kbd  [idnkbd_kap, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.buyk14_kaq  ->  dbo.k14_tab.idnk14_k14  [buyk14_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
